flow,air_temperature,humidity,liq_temperature,turbidity,before_temperature,water,food_oil,engine_oil,oil_brand,timestamp,cloud_synced
1.139241576,23.39999962,72.40000153,28.3125,4.998779297,40,10,90,0,,2023-05-29 14:56:45.586271,t
1.139241576,23.39999962,72.40000153,28.25,4.998779297,40,10,90,0,,2023-05-29 14:56:47.276636,t
1.139241576,23.5,72.80000305,28.25,4.998779297,40,10,90,0,,2023-05-29 14:56:48.983122,t
1.139241576,23.5,72.90000153,28.1875,4.998779297,40,10,90,0,,2023-05-29 14:56:50.804052,t
0.825805187,23.5,72.90000153,28.125,4.998779297,40,10,90,0,,2023-05-29 14:56:52.722153,t
0.825803339,23.5,73,28.3125,4.998779297,40,10,90,0,,2023-05-29 14:56:54.508095,t
0.825654566,23.5,73.19999695,29.3125,4.998779297,40,10,90,0,,2023-05-29 14:56:56.205987,t
0.825359881,23.5,73.19999695,30.25,4.998779297,40,10,90,0,,2023-05-29 14:56:57.903691,t
0.826384366,23.5,73.40000153,31.0625,4.998779297,40,10,90,0,,2023-05-29 14:57:02.473408,t
0.825212181,23.5,73.30000305,32.4375,0.982666016,40,10,90,0,,2023-05-29 14:57:04.396383,t
0.824486077,23.5,72.80000305,32.75,1.85546875,40,10,90,0,,2023-05-29 14:57:06.172385,t
0.824053049,23.5,72.80000305,33,1.694335938,40,10,90,0,,2023-05-29 14:57:07.88826,t
0.289209843,24.10000038,70.90000153,29.125,0.393066406,30,25,75,0,,2023-05-30 18:01:13.12498,t
0.289309114,24.10000038,70.90000153,29.1875,0.427246094,30,25,75,0,,2023-05-30 18:01:14.87764,t
0.290457129,24.10000038,70.90000153,29.1875,0.369873047,30,25,75,0,,2023-05-30 18:01:16.706337,t
0.293102086,24.10000038,70.90000153,29.1875,0.357666016,30,25,75,0,,2023-05-30 18:01:18.406725,t
0.598064184,24.10000038,70.40000153,33.1875,0.41015625,35,25,75,0,,2023-05-30 18:15:29.389187,t
0.597752392,24.10000038,70.40000153,33.25,0.411376953,35,25,75,0,,2023-05-30 18:15:30.318518,f
0.614590466,24.10000038,70.40000153,33.25,0.397949219,35,25,75,0,,2023-05-30 18:15:31.273206,f
0.593262255,24.10000038,70.40000153,33.3125,0.391845703,35,25,75,0,,2023-05-30 18:15:32.996791,f
0.593262255,24.10000038,70.40000153,33.3125,0.437011719,35,25,75,0,,2023-05-30 18:15:34.680124,f
0.593262255,24.10000038,70.40000153,33.3125,0.421142578,35,25,75,0,,2023-05-30 18:15:35.624412,f
